파일,PDF 페이지,설명,추출 방식,해상도(px)
01_드라이아이스_세척_가이드/01_드라이아이스_세척_작업장면_p06.jpg,6,드라이아이스 블라스팅 실제 작업 장면,PDF embedded image direct extraction,1477x741
01_드라이아이스_세척_가이드/02_ICE_Impact_충격_p08.png,8,ICE 원리 - Impact(충격),Crop from original PDF embedded image: xref 159,352x352
01_드라이아이스_세척_가이드/03_ICE_Cold_냉각_p08.png,8,ICE 원리 - Cold(냉각),Crop from original PDF embedded image: xref 159,355x352
01_드라이아이스_세척_가이드/04_ICE_Expansion_팽창_p08.png,8,ICE 원리 - Expansion(팽창),Crop from original PDF embedded image: xref 159,350x352
01_드라이아이스_세척_가이드/05_드라이아이스_세척효과_작업장면_p13.jpg,13,드라이아이스 분사/세척 효과를 보여주는 작업 장면,PDF embedded image direct extraction,1546x835
02_타_세척방식과_비교/01_드라이아이스_블라스팅_비교대표_p16.jpg,16,드라이아이스 블라스팅 대표 이미지,PDF embedded image direct extraction,1556x836
02_타_세척방식과_비교/02_연마_블라스팅_p17.jpg,17,연마 블라스팅 작업 장면,PDF embedded image direct extraction,1550x660
02_타_세척방식과_비교/03_샌드_블라스팅_p18.jpg,18,샌드 블라스팅 작업 장면,PDF embedded image direct extraction,1544x813
02_타_세척방식과_비교/04_레이저_세정_p19.jpg,19,레이저 세정 작업 장면,PDF embedded image direct extraction,640x537
02_타_세척방식과_비교/05_수작업_화학용제_세정_p20.jpg,20,수작업 및 화학 용제 세정 장면,PDF embedded image direct extraction,1572x803
02_타_세척방식과_비교/06_소다_블라스팅_p21.jpg,21,소다 블라스팅 작업 장면,PDF embedded image direct extraction,1558x742
02_타_세척방식과_비교/07_고압_세척_p22.jpg,22,고압수 세척 작업 장면,PDF embedded image direct extraction,1554x714
03_산업별_솔루션/01_우주항공_p15.png,15,우주항공,Crop from original PDF embedded p.15 industry strip,258x260
03_산업별_솔루션/02_자동차_p15.png,15,자동차,Crop from original PDF embedded p.15 industry strip,259x260
03_산업별_솔루션/03_세차_복원_디테일링_p15.png,15,세차 복원 디테일링,Crop from original PDF embedded p.15 industry strip,261x260
03_산업별_솔루션/04_세정_서비스_p15.png,15,세정 서비스,Crop from original PDF embedded p.15 industry strip,260x260
03_산업별_솔루션/05_가공_목재_p15.png,15,가공 목재,Crop from original PDF embedded p.15 industry strip,259x262
03_산업별_솔루션/06_화재복구_p15.png,15,화재복구,Crop from original PDF embedded p.15 industry strip,260x261
03_산업별_솔루션/07_식품산업_p15.png,15,식품산업,Crop from original PDF embedded p.15 industry strip,260x261
03_산업별_솔루션/08_주조_Foundry_p15.png,15,주조 Foundry,Crop from original PDF embedded p.15 industry strip,261x261
03_산업별_솔루션/09_일반_유지보수_시설관리_p15.png,15,일반 유지보수 시설관리,Crop from original PDF embedded p.15 industry strip,264x261
03_산업별_솔루션/10_문화재_건축물_복원_p15.png,15,문화재 건축물 복원,Crop from original PDF embedded p.15 industry strip,261x261
03_산업별_솔루션/11_의료_장비_제조_p15.png,15,의료 장비 제조,Crop from original PDF embedded p.15 industry strip,260x260
03_산업별_솔루션/12_곰팡이_제거_p15.png,15,곰팡이 제거,Crop from original PDF embedded p.15 industry strip,260x260
03_산업별_솔루션/13_석유_및_가스_p15.png,15,석유 및 가스,Crop from original PDF embedded p.15 industry strip,261x261
03_산업별_솔루션/14_플라스틱_및_복합소재_p15.png,15,플라스틱 및 복합소재,Crop from original PDF embedded p.15 industry strip,261x261
03_산업별_솔루션/15_포장_산업_p15.png,15,포장 산업,Crop from original PDF embedded p.15 industry strip,260x260
03_산업별_솔루션/16_발전소_설비_원자력_제염_p15.png,15,발전소 설비 원자력 제염,Crop from original PDF embedded p.15 industry strip,260x260
03_산업별_솔루션/17_인쇄_p15.png,15,인쇄,Crop from original PDF embedded p.15 industry strip,260x260
03_산업별_솔루션/18_고무_및_타이어_p15.png,15,고무 및 타이어,Crop from original PDF embedded p.15 industry strip,261x260
03_산업별_솔루션/19_반도체_p15.png,15,반도체,Crop from original PDF embedded p.15 industry strip,261x260
03_산업별_솔루션/20_섬유_산업_p15.png,15,섬유 산업,Crop from original PDF embedded p.15 industry strip,260x260
04_작업별_솔루션/01_표면세척_식품설비_p09.png,9,표면 세척 - 식품/설비 오염 제거,Crop from original PDF embedded image: xref 161,458x447
04_작업별_솔루션/02_표면세척_산업설비_p09.png,9,표면 세척 - 산업 설비,Crop from original PDF embedded image: xref 161,342x447
04_작업별_솔루션/03_표면처리_전처리_p09.jpg,9,표면처리/전처리 작업 장면,PDF embedded image direct extraction,1250x556
04_작업별_솔루션/04_디버링_디플래싱_정밀부품_p10.jpg,10,디버링/디플래싱 - 정밀 부품,PDF embedded image direct extraction,748x779
04_작업별_솔루션/05_디버링_디플래싱_플라스틱부품_p10.jpg,10,디버링/디플래싱 - 플라스틱 부품,PDF embedded image direct extraction,1561x894
05_도입_가이드/01_드라이아이스_블라스터_기본구성_p23.jpg,23,드라이아이스 블라스터 기본 구성도,PDF embedded image direct extraction,783x332
05_도입_가이드/02_ColdJet_드라이아이스_장비라인업_p23.jpg,23,Cold Jet 드라이아이스 장비 라인업,PDF embedded image direct extraction,988x435
05_도입_가이드/03_이동식_콤프레서_p23.jpg,23,이동식 콤프레서 예시,PDF embedded image direct extraction,663x531
05_도입_가이드/04_펠릿_vs_마이크로파티클_p27.jpg,27,펠릿과 마이크로파티클 비교 이미지,PDF embedded image direct extraction,1553x474
05_도입_가이드/05_드라이아이스_펠레타이저_p27.jpg,27,드라이아이스 펠레타이저/생산 이미지,PDF embedded image direct extraction,663x484
05_도입_가이드/06_탄소순환_친환경_도식_p29.jpg,29,탄소 포집·활용 및 친환경 공정 도식,PDF embedded image direct extraction,1794x294
